arXiv ID,Primary category,Journal,Is proceedings,Presents new numerical results,UK authors,Generates field configurations,Specifies software used for configuration generation,Software used for configuration generation,Repository/hosting service for configuration generation code,Performs measurements,Specifies software used for measurement,Software used for measurements,Repository/hosting service for measurement code,Uses existing configurations,Configuration hosting infrastructure acknowledged,Cites existing configurations,Configurations generated by,Reanalyses other existing data,Cites other existing data,Publishes data,Data available on request?,Repository used for data,Specifies software used for analysis,Software used for analysis,Repository/hosting service for analysis code,Publishes parts of analysis,Publishes full analysis,Acknowledges an HPC centre,Acknowledges Supercomputing Wales,Acknowledges DiRAC,Review paper,Cites any other software,Comments
2107.09335,hep-lat,Phil.Trans.A.Math.Phys.Eng.Sci.,Y,Y,N,N?,,,,N?,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.09671,hep-ph,JCAP,N,Y,N,Y?,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.09742,hep-lat,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.09974,hep-lat,Eur.Phys.J.C,N,Y,Y,Y,Paper citation,HiRep,,Y,Paper citation,HiRep,,N,,,,N,,N,N,,No,,,N,N,Y,N,Y,N,,
2107.10011,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,Y,,Paper citation,HotQCD,N,,Y,N,,No,,,N,N,Y,N,N,N,,"Data do not include lattice results, only input dataset"
2107.10262,hep-ph,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.10285,hep-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.10286,hep-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"SDPB, Mathematica",,N,N,N,N,N,N,,
2107.10368,hep-lat,Phys.Rev.D,N,Y,N,Y,Paper citation,"Chroma, Qlua, QUDA, QDP-JIT, QPhiX",,Y,Paper citation,"Chroma, Qlua, QUDA, QDP-JIT, QPhiX",,Y,,Paper citation,(Shanahan and Detmold),N,,N,N,,Data repository citation,"Numpy, Scipy, Pandas, lsqfit, gvar, Matplotlib, Seaborn, Mathematica","Zenodo, GitHub",N,N,Y,N,N,N,,
2107.10642,hep-lat, ,N,Y,N,N?,,,,N?,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.10842,hep-lat, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,Paper citation,
2107.10866,hep-lat,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.10983,hep-lat,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.11177,math-ph, ,N,N,N,N,,,,N,,,,N,,,,N,,Y,N,arXiv,No,,,N,N,N,N,N,N,,
2107.11312,hep-ph,Proceedings of 28th International Workshop on Deep Inelastic Scattering and Related Subjects,Y,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"APFEL++, PARTONS",,N,N,N,N,N,N,,
2107.11366,quant-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.11368,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,HotQCD,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.11416,quant-ph, ,N,Y,N,N?,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.11656,hep-th,Phys.Rev.Lett.,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.11895,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.11930,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"Chroma, Qlua, QUDA, QDP-JIT, QPhiX",,Y,,Paper citation,MILC,Y,Paper citation,N,N,,Paper citation,"Numpy, Julia, Mathematica",,N,N,Y,N,N,N,,
2107.12266,hep-ph,Nucl.Phys.A,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.12273,nucl-th,Phys.Rev.C,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.12284,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.12391,hep-ph,JHEP,N,Y?,N,N,,,,N,,,,N,,,,N?,,N,N,,No,,,N,N,N,N,N,N,,
2107.12739,hep-lat,JHEP,N,Y,N,Y,Data repository citation,"CL2QCD, BaHaMAS",Zenodo,Y,Data repository citation,"CL2QCD, BaHaMAS",Zenodo,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,HPC acknowledgement is in passing in main text
2107.12749,hep-lat,Phys.Lett.B,N,Y,N,Y,Paper citation,"Chroma, QUDA",,Y,Paper citation,"Chroma, QUDA",,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.12769,quant-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,N,N,N,N,,
2107.12818,hep-lat,Proceedings of 28th International Workshop on Deep Inelastic Scattering and Related Subjects,Y,Y,N,N,,,,Y,Paper citation,DD-αAMG,,Y,,Paper citation,ETMC,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2107.12991,hep-lat, ,N,Y,N,N,,,,N,,,,N,,,,Y,Footnote/inline URL,N,N,,Mentioned by name,"Python, Numpy, TensorFlow, cuDNN",,N,N,N,N,N,N,,Socialogical/meta paper looking at hep-lat author diversity
2107.12993,hep-ph,JHEP,N,N,Y,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.13024,quant-ph,Phys.Rev.Lett.,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.13084,hep-ph,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"Chroma, QPhiX, Qlua, MDWF",,Y,,Mentioned by name,RBC-UKQCD,N?,,N,N,,No,,,N,N,Y,N,N,N,,
2107.13140,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"Chroma, QPhiX, Qlua, MDWF",,Y,,Paper citation,RBC-UKQCD,N,,Y,N,Supplementary material,No,,,N,N,Y,N,N,N,,Provides covariance matrices
2107.13159,hep-lat,Int.J.Mod.Phys.A,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2107.13198,hep-ph,PTEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.13449,nucl-th, ,N,Y,N,N?,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.13464,hep-ph,Phys.Rev.D,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,RBC-UKQCD,N?,,N,N,,No,,,N,N,Y,N,N,N,,
2107.13563,cond-mat.quant-gas, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.13666,nucl-th,Phys.Rev.C,N,Y,N,N,,,,N,,,,N,,,,N?,,N,N,,No,,,N,N,N,N,N,N,,
2107.13676,hep-ph,Proceedings of 28th International Workshop on Deep Inelastic Scattering and Related Subjects,Y,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.13748,hep-ph,Chin.Phys.Lett.,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.13909,hep-lat,Turk.J.Phys.,N,Y,N,N,,,,Y,Paper citation,Chroma (modified),,Y,"ILDG, JLDG",Paper citation,CP-PACS,N,,N,N,,No,,,N,N,Y,N,N,N,,
2107.14149,hep-lat,PTEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.14182,hep-ph,Eur.Phys.J.C,N,Y,N,N,,,,N,,,,N,,,,Y?,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2107.14220,hep-lat,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2107.14637,cond-mat.str-el, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"SDPB, simpleboot",GitLab,N,N,Y,N,N,N,,
2107.14708,hep-ph,Phys.Rev.D,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2108.00118,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.00188,hep-ph,Nucl.Phys.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.00417,hep-th,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.00438,hep-lat,EPJ Web Conf.,Y,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.00496,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.00923,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.01022,quant-ph,Quantum Sci.Technol.,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.01086,cond-mat.mes-hall, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.01381,hep-ph,Proceedings of 28th International Workshop on Deep Inelastic Scattering and Related Subjects,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2108.01911,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.02203,cond-mat.quant-gas, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.02306,hep-ph,Eur.Phys.J.A,N,Y,Y,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.02647,hep-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,(code by Jie Gu),,N,N,N,N,N,N,,
2108.02673,hep-ph,Commun.Theor.Phys.,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.02709,hep-lat,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Data repository citation,N,N,,Paper citation,MINUIT,,N,N,N,N,N,N,,
2108.02772,hep-th, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.02942,quant-ph,PRX Quantum,N,Y,Y,Y,No,,,Y,No,,,N,,,,N,,Y,N,GitHub,Data repository citation,"bmn2-lattice, QuTiP, lsqfit, Numpy","GitHub, Zenodo",Y,Y,Y,N,N,N,,"Claims to make data available, but this is missing from cited repository."
2108.03279,hep-ph,Particles,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,Paper citation,Mentions RunDec
2108.03488,hep-lat,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.04326,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,Y,Paper citation,Chroma,,Y,,Paper citation,MILC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.04832,cond-mat.str-el,Phys.Rev.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.04948,hep-ph,Phys.Lett.B,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.05222,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,Y,Paper citation,CL2QCD,,Y,No,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2108.05311,hep-lat,Phys.Rev.Lett.,N,Y,N,N,,,,Y,Footnote/inline URL,"CPS (modified), Grid (modified)",GitHub,N,,Paper citation,RBC-UKQCD,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.05486,hep-lat, ,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.05599,hep-ph,Int.J.Mod.Phys.A,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2108.05822,hep-ph,Phys.Rev.Lett.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.05981,hep-th, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2108.06204,hep-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.06346,cond-mat.str-el,Phys.Rev.Lett.,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.07309,hep-lat,Few Body Syst.,N,Y,N?,N?,,,,N,,,,N,,,,N,,N,N,,Footnote/inline URL,MATLAB,,N,N,N,N,N,N,,
2108.07544,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,"DD-αAMG, IDFLS",,Y,,Paper citation,CLS,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.08073,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,Y,No,,,Y,,Paper citation,JLQCD,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.08100,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2108.08182,cond-mat.supr-con, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2108.08183,cond-mat.mtrl-sci, ,N,Y,N,N?,,,,N?,,,,N,,,,N,,N,N,,URL citation,"Quantum ESPRESSO, Wannier90",,N,N,N,N,N,N,,
2108.08248,quant-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.08269,nucl-th,Phys.Lett.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.08499,hep-lat,Universe,N,Y,N,Y,Paper citation,PETSC,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.08757,hep-th, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,N,N,N,N,,
2108.09213,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,Paper citation,MAGMA,,N,N,Y,N,N,N,,
2108.09925,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.09966,quant-ph,Phys.Rev.B,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,Paper citation,Itensor,,N,N,Y,N,N,N,,
2108.10017,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.10285,hep-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.10630,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.10704,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,Y,No,,,Y,,Paper citation,RBC-UKQCD,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.10789,hep-lat,Phys.Rev.D,N,Y,N,N?,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.10835,hep-lat, ,N,Y,N,N,,,,Y,Paper citation,"Qlua, Tiramisu",,Y,,Paper citation,NPLQCD,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.11242,hep-lat,Phys.Rev.D,N,Y,Y,N,,,,Y,Data repository citation,MILC,GitHub,Y,,Paper citation,MILC,Y,Paper citation,Y,N,arXiv,Included,"Numpy, Scipy, Matplotlib, gvar",arXiv,Y,N,Y,N,Y,N,,
2108.11281,math.NA, ,N,Y,N,N?,,,,N,,,,N?,,,,N,,N,N,,Data repository citation,"PyAMG, MLMCTraceComputer",GitHub,Y,N?,N,N,N,N,,
2108.11493,hep-ph,Chin.Phys.Lett.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2108.11731,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.11766,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,Y?,No,,,Y,No,,,N?,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.11989,hep-lat, ,N,Y,N,Y,Data repository citation,openQ*D,"DIGITAL.CSIC, GitLab",Y,No,,,N?,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2108.12423,hep-lat, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2108.12494,hep-lat, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.12760,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2108.13089,hep-ph,Nucl.Phys.A,N,Y,N,N,,,,N,,,,N,,,,N?,,N,N,,No,,,N,N,N,N,N,N,,
2108.13236,hep-lat, ,N,Y,N,Y,URL citation,openQCD (modified),Personal website,Y,No,,,N,,,,Y?,No,N,N,,No,,,N,N,Y,N,N,N,,
2108.13305,quant-ph, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"Rigetti, Quil",,N,N,N,N,N,N,,
2108.13410,quant-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,QuEST,,N,N,N,N,N,N,,
2108.13444,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N?,,,,N?,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2108.13693,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2108.13825,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2108.13867,nucl-th,Nucl.Phys.A,N,Y?,N,N,,,,N,,,,N,,,,N,,N,N,,URL citation,BEST,"Institutional website, Bitbucket",N,N,Y,N,N,N,,
2109.00268,hep-lat,EPJ Web Conf.,Y,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2109.00790,math-ph,PTEP,N,Y,N,N,,,,N,,,,N,,,,N,,Y,N,Supplementary material,Mentioned by name,Mathematica,,Y,Y?,N,N,N,N,,
2109.00992,hep-lat, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2109.01001,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,Y,Y,Paper citation,susy,GitHub,Y,Paper citation,susy,GitHub,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.01075,gr-qc,PTEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.01191,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,Y,Paper citation,Chroma,,Y,,Paper citation,MILC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.01333,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.01422,hep-ph,Proceedings of 50th International Symposium on Multiparticle Dynamics,Y,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2109.01557,hep-lat,Phys.Rev.D,N,Y,N,N,,,,Y,Paper citation,Choma,,Y,,Paper citation,QCDSF,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.01911,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2109.01953,quant-ph,Phys.Rev.A,N,Y,N,N,,,,N,URL citation,Qiskit,Dedicated website,N,,,,N,,N,Y,,Paper citation,Qiskit,,N,N,N,N,N,N,,
2109.02242,cond-mat.str-el,Phys.Rev.B,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.02390,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2109.02511,hep-lat,Phys.Rev.D,N,Y,N,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.02701,hep-th,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,Y,N,N,N,,
2109.02790,hep-lat,Phys.Rev.D,N,Y,N,Y,No,,,Y,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.03532,hep-lat, ,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2109.03591,hep-ph,J.Phys.G,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,Paper citation,APFEL,,N,N,N,N,N,N,,
2109.03668,hep-lat,Phys.Rev.Lett.,N,Y,N,Y,No,,,N,No,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.03752,hep-th,JHEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2109.04277,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.04311,hep-ph,Phys.Rev.D,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.04414,hep-th,Class.Quant.Grav.,N,N,Y,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.04537,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,Y,No,,,Y,,Paper citation,CLS,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.04560,hep-lat, ,N,Y,N,Y,No,,,Y,Paper citation,"(Burkard and Derigs), FORTRAN",,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2109.04748,hep-lat,PoS,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2109.04946,hep-th,JHEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.05002,hep-lat,Phys.Rev.D,N,Y,Y,N,,,,N,,,,N,,,,Y,Paper citation,Y,N,,Data repository citation,"fvtools, FVE_calculation, Mathematica",Zenodo,Y,N,N,N,N,N,,
2109.05525,hep-lat,Phys.Rev.D,N,Y,N,Y,Mentioned by name,(Wellegehausen),,Y,Mentioned by name,(Wellegehausen),,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.05992,hep-th,PTEP,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,N,N,N,N,,
2109.06059,cond-mat.str-el,Phys.Rev.Lett.,N,Y,N,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.06212,hep-th,JHEP,N,Y,N,Y,Paper citation,(Panero),,Y,Paper citation,(Panero et al),,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.06251,hep-th, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,"scikit-learn, numpy",,N,N,N,N,N,N,,Code available on request rather than actual data
2109.06871,cond-mat.mtrl-sci, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Paper citation,"Quantum ESPRESSO, Wannier90, Z2pack",,N,N,N,N,N,N,,
2109.07456,hep-lat,Phys.Rev.D,N,Y,N,Y,Paper citation,OpenStaPLE,,Y,No,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2109.07500,hep-lat, ,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,N,N,N,N,,
2109.07600,hep-ph,Universe,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2109.07665,hep-lat,PTEP,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.07730,cs.LG,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,Y,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,Y,N,N,,
2109.07965,hep-lat,Phys.Lett.B,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2109.08033,hep-th, ,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,Mentioned by name,Mathematica,,N,N,Y,N,N,N,,
2109.08076,hep-ph,PoS,Y,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,Y,,
2109.08497,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,Y,Y?,No,,,Y?,No,,,N,,,,N,,N,N,,No,,,N,N,Y,Y,N,N,,
2109.08560,hep-lat,Phys.Rev.D,N,Y,N,Y?,No,,,Y,No,,,N?,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.08768,hep-ph,Chin.Phys.Lett.,N,Y,N,N,,,,N,,,,N,,,,Y,Paper citation,N,N,,No,,,N,N,Y,N,N,N,,
2109.09313,hep-ph,Eur.Phys.J.Plus,N,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.09381,hep-lat, ,N,Y,N,N,,,,Y,No,,,Y,,Paper citation,ETMC,N,,N,N,,No,,,N,N,Y,N,N,N,,
2109.09535,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,N,,,,N,,,,N,,,,N,,N,N,,No,,,N,N,N,N,N,N,,
2109.09582,nucl-th,Few Body Syst.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,Y,N,N,Y,,
2109.09638,gr-qc,Class.Quant.Grav.,N,N,N,N,,,,N,,,,N,,,,N,,N,N,,,,,N,N,N,N,N,N,,
2109.09720,hep-lat,Proceedings of 38th International Symposium on Lattice Field Theory,Y,Y,N,Y,Paper citation,Grid,GitHub,Y,Paper citation,Qlua,Institutional website,N,,,,N,,N,N,,No,,,N,N,Y,N,N,N,,
